"Name","Location","Type"
"__nnmusl_fini_dso","External[ ? ]","External Function"
"__nnmusl_init_dso","External[ ? ]","External Function"
"sinf","External[ ? ]","External Function"
"cosf","External[ ? ]","External Function"
"__cxa_guard_acquire","External[ ? ]","External Function"
"__cxa_guard_release","External[ ? ]","External Function"
"acosf","External[ ? ]","External Function"
"sqrtf","External[ ? ]","External Function"
"GetTlsValue","External[ ? ]","External Function"
"GetCurrentCoreNumber","External[ ? ]","External Function"
"GetSystemTick","External[ ? ]","External Function"
"__cxa_pure_virtual","External[ ? ]","External Function"
"atan2f","External[ ? ]","External Function"
"asinf","External[ ? ]","External Function"
"powf","External[ ? ]","External Function"
"tanf","External[ ? ]","External Function"
"strnlen","External[ ? ]","External Function"
"quick_exit","External[ ? ]","External Function"
"strcmp","External[ ? ]","External Function"
"memcmp","External[ ? ]","External Function"
"strlen","External[ ? ]","External Function"
"pow","External[ ? ]","External Function"
"Finalize","External[ ? ]","External Function"
"Initialize","External[ ? ]","External Function"
"GetCurrentTimePoint","External[ ? ]","External Function"
"GetSpanBetween","External[ ? ]","External Function"
"atanf","External[ ? ]","External Function"
"expf","External[ ? ]","External Function"
"ShowUnacceptableAddOnContentVersionError","External[ ? ]","External Function"
"IsDebuggerAttached","External[ ? ]","External Function"
"SetMemoryHeapSize","External[ ? ]","External Function"
"AllocateMemoryBlock","External[ ? ]","External Function"
"Initialize","External[ ? ]","External Function"
"SetPerformanceConfiguration","External[ ? ]","External Function"
"SetCpuBoostMode","External[ ? ]","External Function"
"GetHostArgc","External[ ? ]","External Function"
"GetHostArgv","External[ ? ]","External Function"
"TryPopLaunchParameter","External[ ? ]","External Function"
"CompressGzip","External[ ? ]","External Function"
"GetGzipDecompressedSize","External[ ? ]","External Function"
"DecompressGzip","External[ ? ]","External Function"
"EnterExitRequestHandlingSection","External[ ? ]","External Function"
"DeleteDirectoryRecursively","External[ ? ]","External Function"
"DeleteFile","External[ ? ]","External Function"
"LeaveExitRequestHandlingSection","External[ ? ]","External Function"
"sqrt","External[ ? ]","External Function"
"MakePreset","External[ ? ]","External Function"
"GetRequiredWorkBufferSize","External[ ? ]","External Function"
"GetRequiredStringBufferSize","External[ ? ]","External Function"
"GetExpectedVolumeBalance","External[ ? ]","External Function"
"SetExpectedVolumeBalance","External[ ? ]","External Function"
"ShowKeyboard","External[ ? ]","External Function"
"JpegDecoder","External[ ? ]","External Function"
"SetImageData","External[ ? ]","External Function"
"Analyze","External[ ? ]","External Function"
"GetAnalyzedWorkBufferSize","External[ ? ]","External Function"
"GetAnalyzedDimension","External[ ? ]","External Function"
"Decode","External[ ? ]","External Function"
"~JpegDecoder","External[ ? ]","External Function"
"SetResolutionDenominator","External[ ? ]","External Function"
"JpegEncoder","External[ ? ]","External Function"
"SetQuality","External[ ? ]","External Function"
"Analyze","External[ ? ]","External Function"
"GetAnalyzedWorkBufferSize","External[ ? ]","External Function"
"~JpegEncoder","External[ ? ]","External Function"
"SetPixelData","External[ ? ]","External Function"
"Encode","External[ ? ]","External Function"
"CheckStereoVisionPermission","External[ ? ]","External Function"
"ShowShopAddOnContentList","External[ ? ]","External Function"
"GetOperationMode","External[ ? ]","External Function"
"Initialize","External[ ? ]","External Function"
"Reallocate","External[ ? ]","External Function"
"Free","External[ ? ]","External Function"
"Allocate","External[ ? ]","External Function"
"Allocate","External[ ? ]","External Function"
"StandardAllocator","External[ ? ]","External Function"
"__errno_location","External[ ? ]","External Function"
"memset","External[ ? ]","External Function"
"ReferSymbol","External[ ? ]","External Function"
"UnexpectedDefaultImpl","External[ ? ]","External Function"
"ConvertCharacterUtf8ToUtf32","External[ ? ]","External Function"
"PickOutCharacterFromUtf8String","External[ ? ]","External Function"
"GetAdvance","External[ ? ]","External Function"
"GetKerning","External[ ? ]","External Function"
"Initialize","External[ ? ]","External Function"
"SetAutoHint","External[ ? ]","External Function"
"ReleasesGlyph","External[ ? ]","External Function"
"SetBoldWeight","External[ ? ]","External Function"
"GetFontMetrics","External[ ? ]","External Function"
"AcquireGlyphmap","External[ ? ]","External Function"
"CheckGlyphExist","External[ ? ]","External Function"
"SetOutlineWidth","External[ ? ]","External Function"
"AcquireOtfKerning","External[ ? ]","External Function"
"AcquireOtfKerningLast","External[ ? ]","External Function"
"AcquireOtfKerningFirst","External[ ? ]","External Function"
"InitializeOtfKerningTable","External[ ? ]","External Function"
"SetFont","External[ ? ]","External Function"
"LoadFont","External[ ? ]","External Function"
"SetFlags","External[ ? ]","External Function"
"SetScale","External[ ? ]","External Function"
"ScalableFontEngine","External[ ? ]","External Function"
"Decode","External[ ? ]","External Function"
"memcpy","External[ ? ]","External Function"
"SNPrintf","External[ ? ]","External Function"
"reset","External[ ? ]","External Function"
"UnlockMutex","External[ ? ]","External Function"
"FinalizeMutex","External[ ? ]","External Function"
"InitializeMutex","External[ ? ]","External Function"
"LockMutex","External[ ? ]","External Function"
"assign","External[ ? ]","External Function"
"strncmp","External[ ? ]","External Function"
