"Name","Location","Type"
"FinalizeMutex","External[ ? ]","External Function"
"InitializeMutex","External[ ? ]","External Function"
"operator.new","External[ ? ]","External Function"
"AbortImpl","External[ ? ]","External Function"
"StopAudioOut","External[ ? ]","External Function"
"CloseAudioOut","External[ ? ]","External Function"
"StartAudioOut","External[ ? ]","External Function"
"OpenDefaultAudioOut","External[ ? ]","External Function"
"AppendAudioOutBuffer","External[ ? ]","External Function"
"GetAudioOutSampleRate","External[ ? ]","External Function"
"SetAudioOutBufferInfo","External[ ? ]","External Function"
"GetAudioOutChannelCount","External[ ? ]","External Function"
"GetAudioOutSampleFormat","External[ ? ]","External Function"
"GetAudioOutBufferDataSize","External[ ? ]","External Function"
"GetReleasedAudioOutBuffer","External[ ? ]","External Function"
"InitializeAudioOutParameter","External[ ? ]","External Function"
"GetAudioOutBufferDataPointer","External[ ? ]","External Function"
"operator.delete","External[ ? ]","External Function"
"operator.new","External[ ? ]","External Function"
"readyToRun","External[ ? ]","External Function"
"requestExit","External[ ? ]","External Function"
"requestExitAndWait","External[ ? ]","External Function"
"run","External[ ? ]","External Function"
"Thread","External[ ? ]","External Function"
"~Thread","External[ ? ]","External Function"
"~Thread","External[ ? ]","External Function"
"~Thread","External[ ? ]","External Function"
"onFirstRef","External[ ? ]","External Function"
"onLastWeakRef","External[ ? ]","External Function"
"onLastStrongRef","External[ ? ]","External Function"
"onIncStrongAttempted","External[ ? ]","External Function"
"RefBase","External[ ? ]","External Function"
"~RefBase","External[ ? ]","External Function"
"String8","External[ ? ]","External Function"
"decStrong","External[ ? ]","External Function"
"incStrong","External[ ? ]","External Function"
"~Thread","External[ ? ]","External Function"
"~Thread","External[ ? ]","External Function"
"operator.delete","External[ ? ]","External Function"
"SleepThread","External[ ? ]","External Function"
"UnlockMutex","External[ ? ]","External Function"
"WaitConditionVariable","External[ ? ]","External Function"
"SignalConditionVariable","External[ ? ]","External Function"
"FinalizeConditionVariable","External[ ? ]","External Function"
"InitializeConditionVariable","External[ ? ]","External Function"
"LockMutex","External[ ? ]","External Function"
"operator.delete[]","External[ ? ]","External Function"
"operator.new[]","External[ ? ]","External Function"
"show","External[ ? ]","External Function"
"clear","External[ ? ]","External Function"
"setSize","External[ ? ]","External Function"
"setLayer","External[ ? ]","External Function"
"createSurface","External[ ? ]","External Function"
"getDisplayInfo","External[ ? ]","External Function"
"getBuiltInDisplay","External[ ? ]","External Function"
"openGlobalTransaction","External[ ? ]","External Function"
"closeGlobalTransaction","External[ ? ]","External Function"
"dispose","External[ ? ]","External Function"
"SurfaceComposerClient","External[ ? ]","External Function"
"String8","External[ ? ]","External Function"
"~String8","External[ ? ]","External Function"
"Surface","External[ ? ]","External Function"
"getSurface","External[ ? ]","External Function"
"initCheck","External[ ? ]","External Function"
"__throw_length_error","External[ ? ]","External Function"
"TryLockMutex","External[ ? ]","External Function"
"attemptIncStrong","External[ ? ]","External Function"
"decWeak","External[ ? ]","External Function"
"createWeak","External[ ? ]","External Function"
"WaitThread","External[ ? ]","External Function"
"StartThread","External[ ? ]","External Function"
"CreateThread","External[ ? ]","External Function"
"DestroyThread","External[ ? ]","External Function"
"SetThreadName","External[ ? ]","External Function"
"SetThreadCoreMask","External[ ? ]","External Function"
"GetSampleByteSize","External[ ? ]","External Function"
"GetAudioOutPlayedSampleCount","External[ ? ]","External Function"
"InitializePolyphaseResampler","External[ ? ]","External Function"
"ProcessPolyphaseResamplerBuffer","External[ ? ]","External Function"
"GetRequiredBufferSizeForPolyphaseResampler","External[ ? ]","External Function"
"CalculatePolyphaseResamplerActualOutputSampleRate","External[ ? ]","External Function"
"__throw_out_of_range","External[ ? ]","External Function"
"sleep_for","External[ ? ]","External Function"
"now","External[ ? ]","External Function"
"lock","External[ ? ]","External Function"
"unlock","External[ ? ]","External Function"
"~mutex","External[ ? ]","External Function"
"SignalEvent","External[ ? ]","External Function"
"ReportMultimediaError","External[ ? ]","External Function"
"__throw_length_error","External[ ? ]","External Function"
"__call_once","External[ ? ]","External Function"
"basic_string","External[ ? ]","External Function"
"ReferSymbol","External[ ? ]","External Function"
"operator.new","External[ ? ]","External Function"
"TimedWaitConditionVariable","External[ ? ]","External Function"
"~IInterface","External[ ? ]","External Function"
"~IInterface","External[ ? ]","External Function"
"createBufferQueueForApp","External[ ? ]","External Function"
"abandonLocked","External[ ? ]","External Function"
"onLastStrongRef","External[ ? ]","External Function"
"freeBufferLocked","External[ ? ]","External Function"
"onFrameAvailable","External[ ? ]","External Function"
"onBuffersReleased","External[ ? ]","External Function"
"acquireBufferLocked","External[ ? ]","External Function"
"releaseBufferLocked","External[ ? ]","External Function"
"onSidebandStreamChanged","External[ ? ]","External Function"
"ConsumerBase","External[ ? ]","External Function"
"~ConsumerBase","External[ ? ]","External Function"
"~ConsumerBase","External[ ? ]","External Function"
"~ConsumerBase","External[ ? ]","External Function"
"createGraphicBuffer","External[ ? ]","External Function"
"GraphicBufferAlloc","External[ ? ]","External Function"
"~GraphicBufferAlloc","External[ ? ]","External Function"
"~GraphicBufferAlloc","External[ ? ]","External Function"
"~GraphicBufferAlloc","External[ ? ]","External Function"
"~IGraphicBufferAlloc","External[ ? ]","External Function"
"~IGraphicBufferAlloc","External[ ? ]","External Function"
"onTransact","External[ ? ]","External Function"
